    TS       Day   Newton        INJ1:BHP        INJ1:WIR        INJ1:OIR        INJ2:BHP        INJ2:WIR        INJ2:OIR        PRD1:BHP        PRD1:WPR        PRD1:OPR        PRD2:BHP        PRD2:WPR        PRD2:OPR        PRD3:BHP        PRD3:WPR        PRD3:OPR        PRD4:BHP        PRD4:WPR        PRD4:OPR
   61 5527.0000        3     2.50000e+02    -3.81433e+03    -5.03320e-07     2.50000e+02    -1.78913e+03    -2.36085e-07     1.50000e+02     9.60773e+02     5.39714e+01     1.50000e+02     1.43319e+03     2.73745e+02     1.50000e+02     5.25679e+02     2.30915e+02     1.50000e+02     1.45416e+03     1.65573e+02
   62 5627.0000        3     2.50000e+02    -3.83002e+03    -5.05392e-07     2.50000e+02    -1.79424e+03    -2.36759e-07     1.50000e+02     9.70474e+02     5.24905e+01     1.50000e+02     1.44334e+03     2.70356e+02     1.50000e+02     5.36181e+02     2.26078e+02     1.50000e+02     1.46758e+03     1.62046e+02
   63 5727.0000        2     2.50000e+02    -3.84568e+03    -5.07458e-07     2.50000e+02    -1.79925e+03    -2.37421e-07     1.50000e+02     9.79747e+02     5.10909e+01     1.50000e+02     1.45311e+03     2.67062e+02     1.50000e+02     5.46174e+02     2.21506e+02     1.50000e+02     1.48139e+03     1.58792e+02
   64 5827.0000        2     2.50000e+02    -3.86116e+03    -5.09500e-07     2.50000e+02    -1.80416e+03    -2.38068e-07     1.50000e+02     9.88747e+02     4.97880e+01     1.50000e+02     1.46243e+03     2.63902e+02     1.50000e+02     5.55846e+02     2.17126e+02     1.50000e+02     1.49468e+03     1.55623e+02
   65 5927.0000        2     2.50000e+02    -3.87638e+03    -5.11509e-07     2.50000e+02    -1.80893e+03    -2.38698e-07     1.50000e+02     9.97389e+02     4.85422e+01     1.50000e+02     1.47127e+03     2.60899e+02     1.50000e+02     5.65137e+02     2.12954e+02     1.50000e+02     1.50759e+03     1.52561e+02
   66 6027.0000        3     2.50000e+02    -3.89131e+03    -5.13479e-07     2.50000e+02    -1.81359e+03    -2.39313e-07     1.50000e+02     1.00571e+03     4.73455e+01     1.50000e+02     1.47971e+03     2.58032e+02     1.50000e+02     5.74002e+02     2.08978e+02     1.50000e+02     1.52019e+03     1.49618e+02
   67 6127.0000        3     2.50000e+02    -3.90594e+03    -5.15410e-07     2.50000e+02    -1.81813e+03    -2.39912e-07     1.50000e+02     1.01372e+03     4.61944e+01     1.50000e+02     1.48776e+03     2.55302e+02     1.50000e+02     5.82531e+02     2.05162e+02     1.50000e+02     1.53255e+03     1.46794e+02
   68 6227.0000        3     2.50000e+02    -3.92023e+03    -5.17295e-07     2.50000e+02    -1.82255e+03    -2.40495e-07     1.50000e+02     1.02144e+03     4.50845e+01     1.50000e+02     1.49543e+03     2.52710e+02     1.50000e+02     5.90760e+02     2.01497e+02     1.50000e+02     1.54453e+03     1.44047e+02
   69 6327.0000        3     2.50000e+02    -3.93425e+03    -5.19145e-07     2.50000e+02    -1.82685e+03    -2.41062e-07     1.50000e+02     1.02888e+03     4.40135e+01     1.50000e+02     1.50273e+03     2.50245e+02     1.50000e+02     5.99071e+02     1.98102e+02     1.50000e+02     1.55616e+03     1.41377e+02
   70 6427.0000        3     2.50000e+02    -3.94802e+03    -5.20962e-07     2.50000e+02    -1.83105e+03    -2.41617e-07     1.50000e+02     1.03602e+03     4.29823e+01     1.50000e+02     1.50974e+03     2.47906e+02     1.50000e+02     6.07281e+02     1.94818e+02     1.50000e+02     1.56745e+03     1.38785e+02
